"Census Profile, 2021 Census of Population"
,,,"Etobicoke Centre [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,118483,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,118022,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    0.4,"",,"...",,"...",    0.4,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 46933,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 45249,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 3198.3,"",,"...",,"...", 3198.3,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   37.05,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,118485,"", 56475,"", 62010,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 17185,"",  8860,"",  8325,"",   14.5,"",   15.7,"",   13.4,"",
"Age characteristics","    0 to 4 years",,  5110,"",  2605,"",  2505,"",    4.3,"",    4.6,"",    4.0,"",
"Age characteristics","    5 to 9 years",,  5830,"",  3030,"",  2795,"",    4.9,"",    5.4,"",    4.5,"",
"Age characteristics","    10 to 14 years",,  6245,"",  3220,"",  3025,"",    5.3,"",    5.7,"",    4.9,"",
"Age characteristics","  15 to 64 years",, 74950,"", 36385,"", 38565,"",   63.3,"",   64.4,"",   62.2,"",
"Age characteristics","    15 to 19 years",,  6435,"",  3365,"",  3075,"",    5.4,"",    6.0,"",    5.0,"",
"Age characteristics","    20 to 24 years",,  6765,"",  3465,"",  3305,"",    5.7,"",    6.1,"",    5.3,"",
"Age characteristics","    25 to 29 years",,  6780,"",  3475,"",  3305,"",    5.7,"",    6.2,"",    5.3,"",
"Age characteristics","    30 to 34 years",,  6710,"",  3325,"",  3385,"",    5.7,"",    5.9,"",    5.5,"",
"Age characteristics","    35 to 39 years",,  7320,"",  3405,"",  3915,"",    6.2,"",    6.0,"",    6.3,"",
"Age characteristics","    40 to 44 years",,  7100,"",  3365,"",  3730,"",    6.0,"",    6.0,"",    6.0,"",
"Age characteristics","    45 to 49 years",,  7195,"",  3335,"",  3860,"",    6.1,"",    5.9,"",    6.2,"",
"Age characteristics","    50 to 54 years",,  8420,"",  3900,"",  4520,"",    7.1,"",    6.9,"",    7.3,"",
"Age characteristics","    55 to 59 years",,  9380,"",  4545,"",  4835,"",    7.9,"",    8.0,"",    7.8,"",
"Age characteristics","    60 to 64 years",,  8845,"",  4210,"",  4635,"",    7.5,"",    7.5,"",    7.5,"",
"Age characteristics","  65 years and over",, 26345,"", 11225,"", 15115,"",   22.2,"",   19.9,"",   24.4,"",
"Age characteristics","    65 to 69 years",,  7265,"",  3350,"",  3920,"",    6.1,"",    5.9,"",    6.3,"",
"Age characteristics","    70 to 74 years",,  5960,"",  2690,"",  3275,"",    5.0,"",    4.8,"",    5.3,"",
"Age characteristics","    75 to 79 years",,  4260,"",  1890,"",  2365,"",    3.6,"",    3.3,"",    3.8,"",
"Age characteristics","    80 to 84 years",,  3635,"",  1465,"",  2170,"",    3.1,"",    2.6,"",    3.5,"",
"Age characteristics","    85 years and over",,  5225,"",  1835,"",  3390,"",    4.4,"",    3.2,"",    5.5,"",
"Age characteristics","      85 to 89 years",,  2965,"",  1190,"",  1775,"",    2.5,"",    2.1,"",    2.9,"",
"Age characteristics","      90 to 94 years",,  1725,"",   500,"",  1225,"",    1.5,"",    0.9,"",    2.0,"",
"Age characteristics","      95 to 99 years",,   480,"",   120,"",   355,"",    0.4,"",    0.2,"",    0.6,"",
"Age characteristics","      100 years and over",,    55,"",    25,"",    35,"",    0.0,"",    0.0,"",    0.1,"",
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",,   14.5,"",   15.7,"",   13.4,"",   14.5,"",   15.7,"",   13.4,"",
"Age characteristics","  15 to 64 years",,   63.3,"",   64.4,"",   62.2,"",   63.3,"",   64.4,"",   62.2,"",
"Age characteristics","  65 years and over",,   22.2,"",   19.9,"",   24.4,"",   22.2,"",   19.9,"",   24.4,"",
"Age characteristics","    85 years and over",,    4.4,"",    3.2,"",    5.5,"",    4.4,"",    3.2,"",    5.5,"",
"Age characteristics","Average age of the population",,   44.5,"",   42.8,"",   46.1,"",   44.5,"",   42.8,"",   46.1,"",
"Age characteristics","Median age of the population",,   45.6,"",   43.6,"",   47.6,"",   45.6,"",   43.6,"",   47.6,"",
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",, 45250,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  Single-detached house",, 21845,"",,"...",,"...",   48.3,"",,"...",,"...",
"Household and dwelling characteristics","  Semi-detached house",,   860,"",,"...",,"...",    1.9,"",,"...",,"...",
"Household and dwelling characteristics","  Row house",,  2020,"",,"...",,"...",    4.5,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment or flat in a duplex",,   790,"",,"...",,"...",    1.7,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has fewer than five storeys",,  1910,"",,"...",,"...",    4.2,"",,"...",,"...",
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 17795,"",,"...",,"...",   39.3,"",,"...",,"...",
"Household and dwelling characteristics","  Other single-attached house",,    30,"",,"...",,"...",    0.1,"",,"...",,"...",
"Household and dwelling characteristics","  Movable dwelling",4,     0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Household and dwelling characteristics","Total - Private households by household size - 100% data",, 45250,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household and dwelling characteristics","  1 person",, 11085,"",,"...",,"...",   24.5,"",,"...",,"...",
"Household and dwelling characteristics","  2 persons",, 14325,"",,"...",,"...",   31.7,"",,"...",,"...",
"Household and dwelling characteristics","  3 persons",,  8115,"",,"...",,"...",   17.9,"",,"...",,"...",
"Household and dwelling characteristics","  4 persons",,  7720,"",,"...",,"...",   17.1,"",,"...",,"...",
"Household and dwelling characteristics","  5 or more persons",,  4010,"",,"...",,"...",    8.9,"",,"...",,"...",
"Household and dwelling characteristics","Number of persons in private households",,116970,"", 56035,"", 60935,"",  100.0,"",  100.0,"",  100.0,"",
"Household and dwelling characteristics","Average household size",,    2.6,"",,"...",,"...",    2.6,"",,"...",,"...",
"Marital status","Total - Marital status for the total population aged 15 years and over - 100% data",,101295,"", 47615,"", 53680,"",  100.0,"",  100.0,"",  100.0,"",
"Marital status","  Married or living common-law",, 55790,"", 27880,"", 27910,"",   55.1,"",   58.6,"",   52.0,"",
"Marital status","    Married",, 50200,"", 25065,"", 25140,"",   49.6,"",   52.6,"",   46.8,"",
"Marital status","    Living common-law",,  5590,"",  2820,"",  2770,"",    5.5,"",    5.9,"",    5.2,"",
"Marital status","      Living common law - Never married",,  3730,"",  1850,"",  1880,"",    3.7,"",    3.9,"",    3.5,"",
"Marital status","      Living common law - Separated",,   280,"",   165,"",   110,"",    0.3,"",    0.3,"",    0.2,"",
"Marital status","      Living common law - Divorced",,  1405,"",   720,"",   685,"",    1.4,"",    1.5,"",    1.3,"",
"Marital status","      Living common law - Widowed",,   170,"",    80,"",    90,"",    0.2,"",    0.2,"",    0.2,"",
"Marital status","  Not married and not living common-law",, 45505,"", 19730,"", 25775,"",   44.9,"",   41.4,"",   48.0,"",
"Marital status","    Not married and not living common law - Never married",, 29305,"", 15265,"", 14040,"",   28.9,"",   32.1,"",   26.2,"",
"Marital status","    Not married and not living common law - Separated",,  2700,"",  1055,"",  1645,"",    2.7,"",    2.2,"",    3.1,"",
"Marital status","    Not married and not living common law - Divorced",,  6165,"",  2130,"",  4035,"",    6.1,"",    4.5,"",    7.5,"",
"Marital status","    Not married and not living common law - Widowed",,  7335,"",  1285,"",  6050,"",    7.2,"",    2.7,"",   11.3,"",
"Family characteristics","Total - Census families in private households by family size - 100% data",5, 33685,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  2 persons",, 15495,"",,"...",,"...",   46.0,"",,"...",,"...",
"Family characteristics","  3 persons",,  8115,"",,"...",,"...",   24.1,"",,"...",,"...",
"Family characteristics","  4 persons",,  7545,"",,"...",,"...",   22.4,"",,"...",,"...",
"Family characteristics","  5 or more persons",,  2530,"",,"...",,"...",    7.5,"",,"...",,"...",
"Family characteristics","Average size of census families",,    2.9,"",,"...",,"...",    2.9,"",,"...",,"...",
"Family characteristics","Average number of children in census families with children",6,    1.7,"",,"...",,"...",    1.7,"",,"...",,"...",
"Family characteristics","Total number of census families in private households - 100% data",, 33680,"",,"...",,"...",  100.0,"",,"...",,"...",
"Family characteristics","  Total couple families",, 27175,"",,"...",,"...",   80.7,"",,"...",,"...",
"Family characteristics","    Married couples",, 24380,"",,"...",,"...",   72.4,"",,"...",,"...",
"Family characteristics","      With children",6, 14665,"",,"...",,"...",   43.5,"",,"...",,"...",
"Family characteristics","      Without children",,  9715,"",,"...",,"...",   28.8,"",,"...",,"...",
"Family characteristics","    Common-law couples",,  2790,"",,"...",,"...",    8.3,"",,"...",,"...",
"Family characteristics","      With children",6,  1085,"",,"...",,"...",    3.2,"",,"...",,"...",
"Family characteristics","      Without children",,  1700,"",,"...",,"...",    5.0,"",,"...",,"...",
"Family characteristics","  Total one-parent families",,  6505,"",,"...",,"...",   19.3,"",,"...",,"...",
"Family characteristics","    in which the parent is a woman+",,  5360,"",,"...",,"...",   15.9,"",,"...",,"...",
"Family characteristics","    in which the parent is a man+",,  1150,"",,"...",,"...",    3.4,"",,"...",,"...",
"Family characteristics","Total - Persons in private households - 100% data",,116970,"", 56035,"", 60935,"",  100.0,"",  100.0,"",  100.0,"",
"Family characteristics","  Total - Persons in census families",, 98925,"", 48595,"", 50330,"",   84.6,"",   86.7,"",   82.6,"",
"Family characteristics","    Married spouses or common-law partners",, 54345,"", 27190,"", 27160,"",   46.5,"",   48.5,"",   44.6,"",
"Family characteristics","    Parents in one-parent families",,  6510,"",  1150,"",  5355,"",    5.6,"",    2.1,"",    8.8,"",
"Family characteristics","    Children",6, 38070,"", 20260,"", 17815,"",   32.5,"",   36.2,"",   29.2,"",
"Family characteristics","      In a two-parent family",, 28210,"", 14970,"", 13240,"",   24.1,"",   26.7,"",   21.7,"",
"Family characteristics","      In a one-parent family",,  9860,"",  5285,"",  4575,"",    8.4,"",    9.4,"",    7.5,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",, 18045,"",  7440,"", 10605,"",   15.4,"",   13.3,"",   17.4,"",
"Family characteristics","    Living alone",, 11085,"",  4195,"",  6885,"",    9.5,"",    7.5,"",   11.3,"",
"Family characteristics","    Living with other relatives",7,  3570,"",  1325,"",  2250,"",    3.1,"",    2.4,"",    3.7,"",
"Family characteristics","    Living with non-relatives only",,  3395,"",  1920,"",  1470,"",    2.9,"",    3.4,"",    2.4,"",
"Household type","Total - Household type - 100% data",, 45250,"",,"...",,"...",  100.0,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",, 28975,"",,"...",,"...",   64.0,"",,"...",,"...",
"Household type","    Couple-family households",, 23890,"",,"...",,"...",   52.8,"",,"...",,"...",
"Household type","      With children",6, 13945,"",,"...",,"...",   30.8,"",,"...",,"...",
"Household type","      Without children",,  9950,"",,"...",,"...",   22.0,"",,"...",,"...",
"Household type","    One-parent-family households",,  5085,"",,"...",,"...",   11.2,"",,"...",,"...",
"Household type","  Multigenerational households",8,  1725,"",,"...",,"...",    3.8,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,   345,"",,"...",,"...",    0.8,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  1495,"",,"...",,"...",    3.3,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",,  1625,"",,"...",,"...",    3.6,"",,"...",,"...",
"Household type","  One-person households",, 11085,"",,"...",,"...",   24.5,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10, 99785,"", 47175,"", 52610,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",, 95850,"", 45155,"", 50695,"",   96.1,"",   95.7,"",   96.4,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 44400,"", 48800,"", 41600,"", 44400,"", 48800,"", 41600,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",, 95885,"", 45180,"", 50710,"",   96.1,"",   95.8,"",   96.4,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 40000,"", 43200,"", 37600,"", 40000,"", 43200,"", 37600,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",, 86540,"", 41470,"", 45065,"",   86.7,"",   87.9,"",   85.7,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 39600,"", 45600,"", 34400,"", 39600,"", 45600,"", 34400,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",, 67910,"", 33910,"", 34000,"",   68.1,"",   71.9,"",   64.6,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 41600,"", 46800,"", 37600,"", 41600,"", 46800,"", 37600,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",, 86395,"", 40255,"", 46140,"",   86.6,"",   85.3,"",   87.7,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  9200,"",  7000,"", 10900,"",  9200,"",  7000,"", 10900,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",,  8135,"",  3255,"",  4880,"",    8.2,"",    6.9,"",    9.3,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5680,"",  5520,"",  5800,"",  5680,"",  5520,"",  5800,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 27960,"", 13650,"", 14310,"",   28.0,"",   28.9,"",   27.2,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9000,"",  8500,"",  9500,"",  9000,"",  8500,"",  9500,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11, 99905,"", 47235,"", 52670,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 96115,"", 45220,"", 50895,"",   96.2,"",   95.7,"",   96.6,"",
