"Census Profile, 2021 Census of Population"
,,,"Scarborough--Rouge Park [Federal electoral district (2013 Representation Order)], Ontario",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Population and dwellings","Population, 2021",1,102254,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population, 2016",1,102275,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population percentage change, 2016 to 2021",,    0.0,"",,"...",,"...",    0.0,"",,"...",,"...",
"Population and dwellings","Total private dwellings",2, 33675,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Private dwellings occupied by usual residents",3, 32433,"",,"...",,"...",,"...",,"...",,"...",
"Population and dwellings","Population density per square kilometre",, 1920.9,"",,"...",,"...", 1920.9,"",,"...",,"...",
"Population and dwellings","Land area in square kilometres",,   53.23,"",,"...",,"...",,"...",,"...",,"...",
"Age characteristics","Total - Age groups of the population - 100% data",,102255,"", 49465,"", 52785,"",  100.0,"",  100.0,"",  100.0,"",
"Age characteristics","  0 to 14 years",, 15155,"",  7790,"",  7370,"",   14.8,"",   15.7,"",   14.0,"",
"Age characteristics","    0 to 4 years",,  4405,"",  2265,"",  2140,"",    4.3,"",    4.6,"",    4.1,"",
"Age characteristics","    5 to 9 years",,  5085,"",  2590,"",  2500,"",    5.0,"",    5.2,"",    4.7,"",
"Age characteristics","    10 to 14 years",,  5670,"",  2935,"",  2730,"",    5.5,"",    5.9,"",    5.2,"",
"Age characteristics","  15 to 64 years",, 67410,"", 32660,"", 34755,"",   65.9,"",   66.0,"",   65.8,"",
"Age characteristics","    15 to 19 years",,  6015,"",  3090,"",  2925,"",    5.9,"",    6.2,"",    5.5,"",
"Age characteristics","    20 to 24 years",,  7660,"",  4035,"",  3625,"",    7.5,"",    8.2,"",    6.9,"",
"Age characteristics","    25 to 29 years",,  7535,"",  3980,"",  3555,"",    7.4,"",    8.0,"",    6.7,"",
"Age characteristics","    30 to 34 years",,  6210,"",  3005,"",  3210,"",    6.1,"",    6.1,"",    6.1,"",
"Age characteristics","    35 to 39 years",,  5965,"",  2825,"",  3140,"",    5.8,"",    5.7,"",    5.9,"",
"Age characteristics","    40 to 44 years",,  5845,"",  2750,"",  3095,"",    5.7,"",    5.6,"",    5.9,"",
"Age characteristics","    45 to 49 years",,  6155,"",  2775,"",  3380,"",    6.0,"",    5.6,"",    6.4,"",
"Age characteristics","    50 to 54 years",,  6855,"",  3120,"",  3735,"",    6.7,"",    6.3,"",    7.1,"",
"Age characteristics","    55 to 59 years",,  7815,"",  3605,"",  4205,"",    7.6,"",    7.3,"",    8.0,"",
"Age characteristics","    60 to 64 years",,  7360,"",  3465,"",  3895,"",    7.2,"",    7.0,"",    7.4,"",
"Age characteristics","  65 years and over",, 19685,"",  9020,"", 10660,"",   19.3,"",   18.2,"",   20.2,"",
